title,artist_name,artist_familiarity,artist_hotness,song_hotness,genre,duration,key,key_condidence,loudness,mode,mode_confidence,tempo,time_signature,time_signature_confidence
b'Grim Prospects (Version 2 Remix)',b'Schizoid',0.495559652,0.349192218,,b'',166.00771,5,0.441,-1.925,1,0.372,86.091,3,1
b'Christmas In Jamaica',b'Toni Braxton Featuring Shaggy',0.737972528,0.555968804,,b'',219.01016,0,0.782,-5.21,1,0.662,149.94,4,0.128
b'Gossippo Perpetuo',b'Perrey And Kingsley',0.530605798,0.350327605,0.444401715,b'',127.9473,0,0.655,-12.717,1,0.525,135.78,4,0.087
b'2190 Dias Contigo',b'Sven Tasnadi',0.480047819,0.306603641,,b'',570.90567,7,0.792,-12.28,1,0.646,122.967,4,1
b'No Control',b'Eddie',0.622684167,0.362238747,,b'',230.00771,9,0.858,-9.748,1,0.606,142.024,4,0.966
b'The Vitalized Shell',b'Enthroned',0.593416049,0.395709548,0.543052864,b'',240.74404,2,0.735,-4.878,0,0.838,135.535,7,0.583
b'Mozart',b'Suzanne Ciani',0.631946666,0.380704536,0.608500079,b'',192.20853,2,0.523,-23.988,1,0.537,139.189,3,0.418
b'Ciao Milan',b'Milan Band',0.20107756,0,,b'',152.0322,8,0.656,-9.414,1,0.393,128.598,5,0.197
b'Lend Me Your Chopper',b'Johnny Osbourne',0.618765785,0.409134869,0,b'',215.30077,3,0.445,-9.741,0,0.496,163.445,4,0.015
b'Letter To Heaven',b'Dolly Parton',0.707335681,0.603876487,,b'',155.21914,7,0,-11.965,0,0.181,114.027,3,1
b'Heaven is Where The Heart Is',b'Rance Allen Group',0.488008882,0.31401179,,b'',207.12444,7,0.662,-12.779,1,0.756,111.316,1,0
b'Inside Job',b'Pearl Jam',0.81444811,0.60797181,0.659304669,b'',428.56444,4,0.743,-8.403,0,0.727,105.994,3,1
b'Take A Look  (LP Version)',b'Natalie Cole',0.69044755,0.507781667,,b'',185.7824,8,0.015,-13.251,1,0.236,88.489,1,0.249
b'The Czar: Usurper/Escape/Martyr/Spiral (Album Version)',b'Mastodon',0.780461749,0.574274731,0.626612803,b'',654.28853,7,0.539,-5.884,0,0.617,118.433,4,0.802
b'Bulgarian Dream',b'Kiril Valeri',0.605874049,0.433945514,0.270775999,b'',306.72934,11,0,-6.929,1,0.232,96.007,4,0.906
b'Amalgama',b'Word',0.638880206,0.246340714,,b'',229.51138,9,0.457,-4.198,1,0.398,187.807,4,0.381
b'Born and Raised In Compton',b'DJ Quik',0.712098902,0.413393911,,b'',205.58322,7,0.025,-6.998,0,0.312,181.115,4,0.701
"b""We're Gonna Go Fishin'""",b'Hank Locklin',0.635757022,0.379436972,0.494489518,b'',127.05914,2,0.826,-12.772,1,0.936,148.357,4,0.097
b'Robbers Kill Cop',b'BT',0.786427083,0.512226738,0.304169503,b'',44.35546,1,0,-18.147,0,0,136.164,4,0.68
b'Relax',b'2-4 Grooves feat. Reki D.',0.622829997,0.426944256,,b'',203.83302,4,0.648,-7.661,0,0.629,126.941,4,1
b'Sweet By And By',b'The Jordanaires',0.382308283,0.283562596,,b'',176.50893,5,0.526,-17.308,1,0.595,159.582,3,1
b'Orgofart',b'Descendents',0.727230315,0.476559379,0.519448581,b'',140.66893,6,0.006,-28.347,0,0.127,89.495,4,0.614
b'Bitch Is Back',b'L.A. Guns',0.665728336,0.456940558,,b'',201.09016,5,0.608,-2.869,0,0.505,102.259,3,1
b'Naked Albino',b'Bare Jr.',0.53938059,0.360583582,0,b'',254.79791,10,0.647,-7.309,1,0.54,107.529,3,1
b'Johnny Loves Me (LP Version)',b'Shelley Fabares',0.075124762,0.370194701,0,b'',143.0722,0,0.675,-15.351,1,0.353,99.408,4,1
b'Dearly Beloved',b'Norrie Paramor',0.312415123,0.250601286,0,b'',163.49995,9,0.753,-25.694,1,0.629,79.731,4,0.897
b'The Look Of Love',b'Gary Hobbs',0.524700041,0.389765518,0,b'',289.64526,0,0.403,-9.435,1,0.578,188.502,1,0
b'Cooler Than You',b'Diesel Boy',0.567814264,0.376688631,0.405652196,b'',124.15955,11,0.724,-4.793,1,0.583,133.729,1,0.046
b'Taryns Deepest Fear',b'Angelo Badalamenti',0.698770478,0.399451724,0.445454525,b'',167.3922,4,0.694,-17.623,0,0.591,139.136,4,0.63
b'Summer Dying Fast',b'Cradle Of Filth',0.784820389,0.572583336,,b'',321.35791,2,0.341,-6.2,0,0.369,193.693,4,0.617
b'Still',b'Jim Chappell',0.520204911,0.361509802,,b'',263.94077,0,0.693,-19.821,1,0.528,76.693,4,0.524
b'Snapshot',b'Ladybug',0.479695608,0.220050765,,b'',341.36771,10,0.432,-9.632,1,0.304,126.95,4,0.575
b'End Of The Road (Head Horny\x19s Remix)',b'Bandido',0.463087254,0.327858925,,b'',333.13914,6,0.598,-5.671,1,0.532,144.812,1,0.091
b'7 Miles',b'Brixx',0.515611096,0,,b'',349.12608,11,0.7,-11.708,0,0.319,138.003,4,0
b'The Frail',b'Nine Inch Nails',0.905776889,0.598458501,,b'',168.56771,7,0.576,-16.968,0,0.621,130.284,4,0.706
b'Para Milladoiro',b'Susana Seivane',0.352212817,0.297949266,0,b'',350.71955,10,0.881,-13.038,1,0.901,152.013,4,1
b'Stone Cold Fingers (Bonus Track)',b'Leland Martin',0.385143351,0.272190152,,b'',175.62077,4,0.852,-10.647,1,0.743,159.968,4,0.415
b'Snowball',b'Test Icicles',0.682045692,0.373464228,0.543052864,b'',190.24934,4,0.441,-4.172,0,0.326,75.031,4,1
"b""(We Don't Need This) Fascist Groove Thang""",b'Heaven 17',0.630928608,0.461558452,,b'',255.16363,7,0.473,-10.756,1,0.505,150.837,4,0.466
b'Drunk Alone',b'React',0.485107918,0.247340584,,b'',120.2673,10,0.634,-3.422,0,0.52,143.231,1,0
b'Charisma',b'Sven Tasnadi',0.480047819,0.306603641,,b'',557.26975,11,0.259,-12.26,1,0.462,123.993,4,0.302
